Comments,Result
I love how Marques does no gimmicks and just talks. His analysis and cool voice is enough here - no need for fancy stuff.,0
This man's cinematography is on another level and still amazes me every video! Keep up this quality content!,0
High refresh rate mid rangers and budget phones are fantastic. I love how almost all new phones have high refresh rate now.,1
One of the honest tech reviewer !! Well done 👍🏼,0
"love the detail that there is nothing on/in the set, really appreciate the effort there. Thats one reason why your vids are top notch and unique. Thanks a lot man.",0
"Dude, I love your imagination and sense of humor. 😂 (No more ""Nothing"" puns while the entire set is completely featureless)",0
Wireless charging and ois are very rare traits for this price range. It will most likely be worth the money.,1
Their UI and overall specs for that price is quite descent. Pretty impressive.,1
"Nothing might be the reason I finally switch back to Android. These designs are incredibly clean, though the lights are a tiny bit gimmicky.",1
He kept his promise. He could have easily said - here goes nothing- 😅,0
"Well-done as any tech reviewer you have done great job reviewing the product really liked it and you and some help from the sponsor made everything clear to the audiance by "" something"" without hearting feeling of any of the audiance and ""nothing"" indirectly  😂👍🏻",0
"Really respect your honest review, I believe you are the only youtuber who actually said glyp light adds nothing and it's so true. Other reviewers are marketing it like crazy, it does not add any value",0
"Finally one reviewer didn't give it the hype it doesn't deserve. Thanks Arun, for being honest!",0
"Love the honest review, Arun! No bullshit and straight to the point, cheers!🍻",0
This is actually really interesting. From the nothing ear buds and now a phone. The led is pretty flashy but kinda cool too.,1
Amazing stuff by this phone. I hope they stick around long enough!,1
"If they continue making really good phones whilst making them unique ,I think we’ve got a winner here",1
"I love this phone, the great (iPhone-like) design, great screen, and the optimized software with near-stock Android. ",1
"Always enjoy concrete, nuanced reviews like yours. Thanks a lot for this!",0
"I honestly love this phone it's more my price range, it's a hell of a looker as far as a phone goes, I'd be proud to use one everyday.",1
"Your style of reviews are second to none!! 
Very captivating and actually makes me want to know more. Love your videos🤝",0
"The camera actually surprised me, it looks very similar to the Iphone!",1
I feel this can be the first Android that focuses on quality of phone usage like iPhone rather than unlimited amount of specs but compromising on quality like the other androids.,1
"And that's why I just love your reviews, true & crisp. Thanks a ton. It really helped figuring out which one is my next phone.",0
Love the design and lights. Only concern is the cameras. Can you use gcam on it?,1
I think this phone should have a higher quality side (like a pro) that is maybe in a 500-600 dollar price range .,1
"Impressive specs, considering its price point",1
This phone actually seems like a pretty good phone.,1
Great video as always Arun,0
Probably the only YouTuber whose videos I don't skip cause of how well it is done! Amazing information and animations throughout the video and it keeps you engaged!!,0
Awesome work Arun!!,0
"From a price to performance ratio perspective, the nothing phone is actually really good",1
Youre always the most honest reviewer.,0
Surprised to see the level of research and depth of the comparison.  Good work!,0
Being part of the Apple design team has to be the easiest job ever..,0
"Small upgrades, massive price tag! Gonna give this one a miss and see what they bring out next year",1
Apple is so good at marketing and people are so hooked on their products to a point where they'd buy anything Apple releases. That's crazy!,1
"Cinematic mode, ProMotion 120 Hz and ProRes Video are things that I want to try and see if they make a difference!! Anyways, you gave a quite bit of insights to iPhone 13 with these rendered models... thanks for updating us with an unbiased opinion...",1
Definitely would go with an iPhone 13 for the compact size and the functionality with the iPhone 13,1
This is the most amazing iPhone yet! Definitely can't wait for the new one next year! Good job apple. R&D mustve cost billions with all of these new and original innovations.,1
"So I've actually never had one but its beautiful, the 13 pro max is my absolute favorite. Great video.👍👍👍👍",1
This Unboxing sounds are so so satisfying ❤️❤️ love it,0
The background... the light.. the fading the floor everything... Perfection!,0
That purple colour on the iphone is just gorge. I thought that the dark green from previous versions was already to die for but when i saw that periwinckle purple i died and went to heaven. Its beautiful,1
"I’ve always been an Xbox fanboy, but I will say that I completely respect and admire Sony for everything they’ve contributed to gaming in general. The PS5 looks like an awesome system. I absolutely love my series X, which is amazing with my elite 2, but I have no ill will towards PS fans. In fact, I want to say congratulations on getting y’all’s hands on a PS5, and I truly hope y’all are enjoying it! Love from Ohio",1
I just love how all of a sudden PS and XBox switched their base colour,1
"I'm far from being a tech guy kind of person, but, it is refreshing to see that both companies/consoles are trying to outdo the other, with better offerings for the consumer to look upon, ""competition thrives or yields quality products"", great comparative review by the way @Unbox Therapy",0
something about symmetrical bezels makes a phone look so much nicer,1
"6.1"" is perfect, hate the trend of huge screens",1
Received my Green S22+ yesterday. I'm trading in my S20+. I'm really loving it so far. Everything is really snappy and smooth. I'm glad they went back to a flat screen so you can put on a tempered glass screen protector that fits properly.,1
"After having a disappointing experience with the Pixel 6, the S22+ seems like the way to go.",1
"We need these types of leaps of technology and balances in the smart phone world, I have to give a hats off to Asus for keeping Competition Alive and well.",1
Big car guy and tech enthusiast and I LOVE the car analogies! They fit so well and make so much sense! ,1
Big car guy and tech enthusiast and I LOVE the car analogies! They fit so well and make so much sense! ,1
I’d like to see this much effort put into their “normal” flagships. Hopefully the new ZenFone 9 is good.,1
With every review he reminds you why you subscribed in the 1st place. I absolutely love the determination and consistency.,0
I appreciate the work you put into these videos. As someone who just started YouTube you are a motivation to me! Thnx for everything.,0
"As always, well delivered MKBHD!! Best tech advisor ever!!",0
MKBHD: gets the fastest phone on the planet,0
also him: plays among us on it,0
That opening camera sweep from behind the laptop to above the keyboard and then zomming in to draw the M2 on the keys was brilliant! Nice work!,1
